"b_grid3","J_values","mse_values_1_1","mse_values_1_2","mse_values_1_3","mse_values_2_1","mse_values_2_2","mse_values_2_3","mse_values_3_1","mse_values_3_2","mse_values_3_3"
0.8,251,0.0712083007010293,0.0711854919290002,0.0689417665332235,0.0965330937474533,0.0964897278007703,0.0943721826671044,0.0824422101097058,0.10956072351734,0.109376412932335
0.85,354,0.0664516101153228,0.0663446810618576,0.0628367325482319,0.0894510006206164,0.0893946602604077,0.0858309786861702,0.0742913343545594,0.100946803669056,0.100889438412255
0.9,501,0.060152619295641,0.0601136258234685,0.0546713139897149,0.0806914460889099,0.080746438441298,0.0749140108342004,0.0644280134455676,0.091382239713886,0.0916503888699266
0.95,707,0.0478881786887456,0.0478673312440492,0.0395377991305614,0.0647672641043509,0.0646948148432817,0.0550707520108438,0.0543477321105152,0.0803146177960143,0.0806908278104544
1,1000,0.0378263665298735,0.037761404058166,0.0262898136826338,0.0479203862957278,0.047979396841122,0.0349018649878331,0.0481089698835842,0.0745512676271478,0.0750999805904715
1.05,1412,0.0380349189675499,0.0378619962930979,0.0255252302029572,0.0412639053716589,0.0412560044471803,0.0296475780935646,0.0503675577781278,0.0813879188971659,0.0813974384177996
1.1,1995,0.0413044160469347,0.0411914250347326,0.0263997011171762,0.0405853546751866,0.0406578628413654,0.0273678629195983,0.0571246537878392,0.0943536581515589,0.0944115743179225
1.15,2818,0.0440645928003883,0.0441115957566829,0.0275453922089769,0.0414629579759114,0.0416069679683519,0.0275463484765775,0.0633400102610947,0.102988712334209,0.106534086780548
1.2,3981,0.0443504690993677,0.0443078083039311,0.0284246923575022,0.0418255960103703,0.0414767961182868,0.0280659035806058,0.0657451152537494,0.109242546132066,0.111975386739661
1.25,5623,0.0440652024534932,0.0442454439794215,0.029842827027395,0.0417531144353739,0.0417453946560112,0.0289766397193696,0.0713001317023449,0.130955129719994,0.13544972807496
1.3,7943,0.044372751675394,0.0443223794633716,0.0318666982980162,0.0418491968845963,0.0419747936686395,0.0310135776491695,0.0845440898794369,0.239279188598205,0.248060294195646
1.35,11220,0.0444288834699398,0.0443580533095763,0.0335551787982838,0.0421065970214057,0.0418679129186442,0.03362596506198,0.132855768371275,0.238100900546029,0.257333194876242
1.4,15848,0.0445703324017239,0.0447767330366886,0.0372212009436565,0.0422618434558205,0.0422976826387271,0.0379176427221019,0.170252230893578,0.240786776673855,0.26237103650913
1.45,22387,0.0463878798144025,0.0463767431566078,0.045802603730924,0.044540019047271,0.0443326479911262,0.0442121767438889,0.174128313956827,0.244471124318799,0.265779015402811
1.5,31622,0.0598148163642612,0.0619100833480043,0.0614222637303595,0.0594384614058337,0.0581766415522004,0.0558101188399811,0.175143526275419,0.244676985941939,0.269337442309678
